role,geo,keyword,translation,rpc,rpcBand,rpcOrClass,pattern,donor,plannerVolume,plannerDeltaPct,status,note,source
донор (все гео),CH,Kreditkarte mit Ratenzahlung Schweiz,"кредитная карта с оплатой в рассрочку, Швейцария",,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Mini-Kredit TWINT Schweiz,"мини-кредит через TWINT, Швейцария",,high,"класс «высокий», без rpc (другие команды)",,,,,бренд запрещён — не берём,,keywords/all (24.09)
донор (все гео),CH,Kreditkarte mit Sofortgeld,кредитная карта с деньгами сразу,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Kreditkarte bis 5000 Franken,кредитная карта с лимитом до 5000 франков,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Kreditkarte 10000 Limit,кредитная карта с лимитом 10 000,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Twint Kreditkarte 5000 CHF,кредитная карта TWINT на 5000 CHF,,high,"класс «высокий», без rpc (другие команды)",,,,,бренд запрещён — не берём,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),CH,Kreditkarte Schnell Erhalten,быстро получить кредитную карту,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CH_1 (24.09)"
донор (все гео),DE,Kreditkarte mit Ratenzahlung 5.000 Euro,кредитная карта с рассрочкой 5000 евро,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords DE_1, research_keywords DE_C, research_keywords DE_D (24.09)"
донор (все гео),DE,Kredit für Verschuldete,кредит для должников,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords DE_1, research_keywords DE_A, research_keywords DE_B, research_keywords DE_C, research_keywords DE_D (24.09)"
донор (все гео),DE,Sofortkredit Ohne Ablehnung,срочный кредит без отказа,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords DE_1, research_keywords DE_A (24.09)"
донор (все гео),DE,Kostenlose Kreditkarte Beantragen,оформить бесплатную кредитную карту,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords DE_1, research_keywords DE_A, research_keywords DE_C, research_keywords DE_D (24.09)"
донор (все гео),DE,Online Kreditkarte Sofort,онлайн кредитная карта сразу,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords DE_1, research_keywords DE_A, research_keywords DE_C, research_keywords DE_D (24.09)"
донор (все гео),DE,Beste Kreditkarte mit Ratenzahlung,лучшая кредитная карта с рассрочкой,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords DE_1, research_keywords DE_C, research_keywords DE_D (24.09)"
донор (все гео),DE,Ich Brauche Sofort Geld,мне срочно нужны деньги,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords DE_A (24.09)"
донор (все гео),DE,Ich Brauche Jetzt Sofort Geld,мне прямо сейчас срочно нужны деньги,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords DE_A (24.09)"
донор (все гео),PL,Kredyt Online Szybko,кредит онлайн быстро,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PL_1 (24.09)"
донор (все гео),PL,Kredyt Przez Internet,кредит через интернет,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PL_1 (24.09)"
донор (все гео),PL,Złóż Wniosek o Pożyczkę Gotówkową W 5 Minut,подай заявку на займ наличными за 5 минут,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Konto Bankowe Online na Dowód,банковский счёт онлайн по паспорту,,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Kredyt Online Szybka Decyzja,"кредит онлайн, быстрое решение",,high,"класс «высокий», без rpc (другие команды)",,,,,ok,,research_keywords PL_1 (24.09)
донор (все гео),AT,Kreditkarte mit Ratenzahlung Österreich,"кредитка с рассрочкой, Австрия",,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords AT_1 (24.09)
донор (все гео),AT,Kreditkarte Beantragen Österreich,"оформить кредитку, Австрия",,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords AT_1 (24.09)
донор (все гео),AU,Instant Approval Credit Cards with Instant Use,кредитки с мгновенным одобрением и использованием,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords AU_1 (24.09)
донор (все гео),BE,Crédit Urgent le Jour Même Sans Justificatif Belgique,"срочный кредит в тот же день без документов, Бельгия",,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords BEfr_1 (24.09)
донор (все гео),CA,Easy Approval Credit Card,кредитка с лёгким одобрением,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords CA_1 (24.09)
донор (все гео),CA,100 Approval Credit Card,кредитка со 100% одобрением,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords CA_1 (24.09)
донор (все гео),CA,Fast Funding Personal Loans,потребзаймы с быстрой выплатой,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords CA_1 (24.09)
донор (все гео),DE,Sofortkredit 5000€,срочный кредит 5000 €,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords DE_1, research_keywords DE_A (24.09)"
донор (все гео),DE,Kreditkarte mit 5000 Verfügungsrahmen,кредитная карта с лимитом 5000,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords DE_1, research_keywords DE_C, research_keywords DE_D (24.09)"
донор (все гео),EE,Laen 300 Eurot,кредит 300 евро,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords EE_1 (24.09)"
донор (все гео),EE,Väike Laen Ilma Sissetuleku,небольшой кредит без подтверждения дохода,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords EE_1 (24.09)"
донор (все гео),FR,Financement Voiture Sans Apport 2026,автокредит без первого взноса 2026,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Ouvrir un Compte en Ligne Avec Rib Immédiat,открыть счёт онлайн с мгновенными реквизитами,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Je Suis a la Recherche D un Pret,ищу кредит,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords FR_1, research_keywords FR_A (24.09)"
донор (все гео),FR,Voiture 150 Euros Mois,машина за 150 евро в месяц,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords FR_B (24.09)"
донор (все гео),FR,Crédit Bancaire,банковский кредит,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords FR_1, research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Banque en Ligne Credit,"онлайн-банк, кредит",,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords FR_1, research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Voiture Payable par Mois Sans Apport,машина с оплатой помесячно без взноса,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Voiture 99 Euros par Mois Sans Apport 2026,машина за 99 € в месяц без взноса 2026,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Ouvrir un Compte en Ligne en 5 Minutes,открыть счёт онлайн за 5 минут,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords FR_A, research_keywords FR_C (24.09)"
донор (все гео),FR,Voiture Payer par Mois Sans Apport,машина с оплатой помесячно без взноса,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Voiture Sans Apport 2026,машина без взноса 2026,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Financement Voiture Sans Apport,финансирование машины без взноса,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Voiture 100 Euros par Mois,машина за 100 € в месяц,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords FR_B (24.09)
донор (все гео),GB,Zopa Credit Card Apply,оформить кредитку Zopa,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords GB_1, research_keywords GB_A, research_keywords GB_B, research_keywords GB_C (24.09)"
донор (все гео),GB,Debit Card Account,счёт с дебетовой картой,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords GB_1, research_keywords GB_B, research_keywords GB_C (24.09)"
донор (все гео),GB,Apply for a Credit Card Online,оформить кредитку онлайн,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords GB_1, research_keywords GB_A, research_keywords GB_B, research_keywords GB_C (24.09)"
донор (все гео),GB,Credit Card with Instant Use,кредитка с мгновенным использованием,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords GB_1, research_keywords GB_A, research_keywords GB_B, research_keywords GB_C (24.09)"
донор (все гео),GB,Instant Approval Credit Cards with Instant Use,кредитки с мгновенным одобрением и использованием,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords GB_1, research_keywords GB_A, research_keywords GB_B, research_keywords GB_C (24.09)"
донор (все гео),GB,Credit Cards with Instant Use,кредитки с мгновенным использованием,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"research_keywords GB_1, research_keywords GB_A, research_keywords GB_B, research_keywords GB_C (24.09)"
донор (все гео),IT,Richiedere un Mini Prestito Tramite Twint,запросить мини-заём через TWINT (бренд — не берём),,mid,"класс «средний», без rpc (другие команды)",,,,,бренд запрещён — не берём,,research_keywords IT_1 (24.09)
донор (все гео),LT,Greitieji Kreditai Per 15 Min,быстрые кредиты за 15 минут,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords LT_1 (24.09)"
донор (все гео),LT,Paskolos Internetu Greitai,кредиты онлайн быстро,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords LT_1 (24.09)"
донор (все гео),LT,Paysera Asmeninė Paskola 800€ Šiandien Lietuva,"личный кредит Paysera 800 € сегодня, Литва",,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords LT_1 (24.09)"
донор (все гео),LT,Paysera Online Paskola be Dokumentų,онлайн-кредит Paysera без документов,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords LT_1 (24.09)"
донор (все гео),LT,Paysera Paskola 300€ Sprendimas Per 5 Minutes,"кредит Paysera 300 €, решение за 5 минут",,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords LT_1 (24.09)"
донор (все гео),LT,Paysera Paskola be Pajamų Įrodymo,кредит Paysera без подтверждения дохода,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords LT_1 (24.09)"
донор (все гео),LT,Paskola 2.000€ Pervedimas Tą Pačią Dieną,кредит 2000 € с переводом в тот же день,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords LT_1 (24.09)"
донор (все гео),LT,Paskola Per 5 Min,кредит за 5 минут,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords LT_1 (24.09)"
донор (все гео),LT,Paskolos Skolininkams,кредиты для должников,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords LT_1 (24.09)"
донор (все гео),LT,Paysera Paskola be Dokumentų,кредит Paysera без документов,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords LT_1 (24.09)
донор (все гео),NL,Ik Wil Geld Lenen,хочу взять деньги в долг,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords NL_1 (24.09)"
донор (все гео),NL,Kleine Som Geld Lenen,взять в долг небольшую сумму,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords NL_1 (24.09)"
донор (все гео),NL,Lenen Aanvragen,подать заявку на кредит,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords NL_1 (24.09)"
донор (все гео),NL,Lenen als Alleenstaande,кредит для одиноких,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords NL_1 (24.09)"
донор (все гео),NL,Lening Aanvragen Nederland,подать заявку на кредит в Нидерландах,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords NL_1 (24.09)"
донор (все гео),PL,Kredyt Gotówkowy Online Szybki,быстрый потребительский кредит онлайн,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PL_1 (24.09)"
донор (все гео),PL,Online Pożyczka Bez Dokumentów,онлайн-заём без документов,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PL_1 (24.09)"
донор (все гео),PL,Telewizor na Raty Bez Bik i Krd,телевизор в рассрочку без проверки кредитной истории,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Telewizor na Raty Dla Zadłużonych,телевизор в рассрочку для должников,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Kredyt Bez Wychodzenia Z Domu,кредит не выходя из дома,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PL_1 (24.09)"
донор (все гео),PL,Kredyt Gotówkowy Online,кредит наличными онлайн,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PL_1 (24.09)"
донор (все гео),PL,Pożyczka Przez Internet na Konto,займ через интернет на счёт,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PL_1 (24.09)"
донор (все гео),PL,Telefon na Raty Bez Banku,телефон в рассрочку без банка,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Iphone na Raty Dla Zadłużonych,iPhone в рассрочку для должников,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Kredyt Konsolidacyjny Dla Zadłużonych Bez Zdolności Kredytowej,консолидационный кредит для должников без кредитоспособности,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords PL_1 (24.09)"
донор (все гео),PL,Telewizor na Raty Bez Bik,телевизор в рассрочку без проверки БКИ (BIK),,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Telefony na Raty Bez Weryfikacji,телефоны в рассрочку без проверки,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Telewizor+na+raty+bez+bik,телевизор в рассрочку без проверки БКИ (BIK),,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Złóż Wniosek o Awaryjną Pożyczkę Gotówkową 20000 Pln Już Dziś,подай заявку на срочный займ 20 000 злотых уже сегодня,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),PL,Pierwszy Kredyt,первый кредит,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords PL_1 (24.09)
донор (все гео),US,Card Application,заявка на карту,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords US_1 (24.09)
донор (все гео),US,Business Line of Credit Biggerpockets,бизнес-кредитная линия (BiggerPockets),,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords US_1 (24.09)
донор (все гео),US,Credit Card Right Now,кредитка прямо сейчас,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords US_1 (24.09)
донор (все гео),US,Nerdwallet Credit Card Offers,предложения кредиток на NerdWallet,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords US_1 (24.09)
донор (все гео),US,Forbes Best Credit Cards,лучшие кредитки по версии Forbes,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords US_1 (24.09)
донор (все гео),US,Moneyme Credit Card,кредитка MoneyMe,,mid,"класс «средний», без rpc (другие команды)",,,,,ok,,research_keywords US_1 (24.09)
донор (все гео),BE,Ouverture de Crédit,кредитная линия (открытие кредита),,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords BEfr_1 (24.09)
донор (все гео),BE,Prêt Personnel 3 Chance au Crédit,потребзаём «3 chance au crédit»,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords BEfr_1 (24.09)
донор (все гео),CA,Fast Approval Credit Card,кредитная карта с быстрым одобрением,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords CA_1 (24.09)"
донор (все гео),CA,Credit Card Right Now,кредитка прямо сейчас,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords CA_1 (24.09)
донор (все гео),ES,Solicitar Tarjeta Online,оформить карту онлайн,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords ES_1 (24.09)"
донор (все гео),ES,Tarjetas Visa Gratis con Dinero,бесплатные карты Visa с деньгами,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),ES,Tarjeta Visa Gratis con Dinero,бесплатная карта Visa с деньгами,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords ES_1 (24.09)
донор (все гео),ES,Solicitar Tarjeta de Débito Online,заказать дебетовую карту онлайн,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords ES_1 (24.09)
донор (все гео),ES,Tarjeta de Credito Gratis con Dinero,бесплатная кредитка с деньгами,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords ES_1 (24.09)
донор (все гео),ES,Solicitar Tarjeta de Debito Online,заказать дебетовую карту онлайн,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords ES_1 (24.09)
донор (все гео),FR,Mini Pret Instantané,мгновенный мини-заём,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"research_keywords FR_1, research_keywords FR_A (24.09)"
донор (все гео),FR,Prêt Personnel Internet,потребзаём через интернет,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"research_keywords FR_1, research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Carte de Crédit en Ligne Sans Justificatif,кредитка онлайн без документов,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"research_keywords FR_1, research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Micro Credit Rapide Sans Justificatif,быстрый микрокредит без документов,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"research_keywords FR_1, research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Mini Prêt Virement Immédiat Sans Refus,"мини-заём, мгновенный перевод, без отказа",,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"research_keywords FR_1, research_keywords FR_A, research_keywords FR_B, research_keywords FR_C (24.09)"
донор (все гео),FR,Demande de Carte Bancaire en Ligne,заявка на банковскую карту онлайн,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"research_keywords FR_1, research_keywords FR_A, research_keywords FR_C (24.09)"
донор (все гео),FR,Ouvrir un Compte en Ligne Immédiatement,открыть счёт онлайн немедленно,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"research_keywords FR_A, research_keywords FR_C (24.09)"
донор (все гео),GB,Where to Get a Credit Card,где получить кредитку,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"research_keywords GB_1, research_keywords GB_A, research_keywords GB_B, research_keywords GB_C (24.09)"
донор (все гео),GB,Credit Card Apply Uk,"оформить кредитку, UK",,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"research_keywords GB_1, research_keywords GB_A, research_keywords GB_B, research_keywords GB_C (24.09)"
донор (все гео),HR,Online Krediti Isplata Odmah,онлайн-кредиты с выплатой сразу,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
донор (все гео),HU,200 000 Ft Azonnali Kölcsön Hitelvizsgálat Nélkül Nyugdíjasoknak,"кредит 200 000 форинтов сразу, без проверки, пенсионерам",,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords HU_1 (24.09)"
донор (все гео),HU,500 000 Ft Kölcsön a Számlán 30 Percen Belül Munkanélkülieknek,"кредит 500 000 форинтов на счёт за 30 минут, безработным",,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords HU_1 (24.09)"
донор (все гео),HU,Azonnali Kölcsön Online,мгновенный кредит онлайн,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords HU_1 (24.09)"
донор (все гео),HU,Gyors Kölcsön 300 000 HUF,быстрый кредит 300 000 форинтов,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords HU_1 (24.09)"
донор (все гео),HU,Munkaviszony Nélküli Kölcsön,кредит без официального трудоустройства,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords HU_1 (24.09)"
донор (все гео),HU,Online Kölcsön Nyugdíjasok,онлайн-кредит пенсионерам,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords HU_1 (24.09)"
донор (все гео),HU,Személyi Kölcsön Online Azonnal,потребительский кредит онлайн сразу,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords HU_1 (24.09)"
донор (все гео),HU,Elutasítás Nélküli Kölcsön,кредит без отказа,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,"keywords/all, research_keywords HU_1 (24.09)"
донор (все гео),HU,Gyors Kölcsön Nyugdíjasok,быстрый кредит пенсионерам,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,research_keywords HU_1 (24.09)
донор (все гео),IT,Finanziamento Online Immediato,мгновенное онлайн-финансирование,,low,"класс «низкий», без rpc (другие команды)",,,,,ok,,keywords/all (24.09)
